Dog_Number,Total_Complains,hash_binary
5707,1,B98F85512C01FCC9FBB1DD540CEDE77D2E6C6B87750AF50322DD41DE79BE93FE
2936,1,8EC3611C2E981E74748FEB409A64DED3FD8FFF92B68E856D781119EA9C7E2881
87,1,72318DCD3BFAC6163D9358CBA7EA1082A98343F9D63447A26C3E54371AB537C7
3385,1,477C8C280392FA675B7740718C3B6CCB9F8675686265D54CD7EB5E96277F5925
2355,1,CC5B7723FA706741AAF14919DBB06FF55C57D14BEC5DB1C1DF312983B016754C
5264,6,B39EB491662CCF8EAE15738798AF2E48C7661971E4B037B85B999E1B36DED399
3438,1,053FC6EA2B0A72DF85C5FB7F312F5541B6F838C32122DDB049EFDE0B9CBD48E5
3469,1,C2E5A240B90B30366D7D2206EC993EE0EC8ED8684FE1EA5784AF8A65B8736201
7164,1,12DBBC1CCBF8BCA5D6DF8AAB42938B8DA044833A02E2C4BEC36EC91509FCA31D
5885,4,BEC54BD4D4F8763D49D20F2ABA5C79B60C81D79AE8CD62D1CD5D2B478C8C3F92
3683,1,26470B5C4FBC7105C75BD84929D13259F5CB62F08E9718F6F28748B941F5F79E
6179,4,6E7CC0D175A039B528717614374F4D9B7B80639E87C27F96DE18D9B30DAC8ED9
3732,3,2CAABB8B3466E28CB35DAB4373EC2656098F67BFDE7CEF46A4A85CBD581BFF88
3771,1,D86298A7B1E006E59F3ED516D34ABE261DB8ABEC2231141831B33C1C5C0DD7A3
3795,1,9D259A8EEC9953D6DBB16A500E9DD53A66AAE5750E1DB20793303E50ECB0AB3E
7936,2,F5771DF9E006D034067A14F4E6C86B54E15AD609EAA820DF6553409B0BB2E63F
1689,17,ACB27FD6F233E370C2D483E21EF6728AB2C4A93C6EF7C61EF16551C580A549B9
5701,2,DCEF29F2DD3D2F82849143C0B5BEE88A4D82006BD3E72EB29D2972D90BF8AF2E
3115,1,4088D362F347AC0B8B5854A13C1E239E58870CBDAD7DEB5F1975016C7FCCD6BF
7755,2,A2B6A889CA122A63F64F8EAD844E58DCC52118973D564F21CE1A042A52634AE2
5340,1,61BFFD15B40C36A824122956695A0FC60CDE2BC86D9E7E4BEA254850564AC1AB
5362,1,52FF28827A031B9D47A4E821F4405AE41D358376D02B6DBEF88A04441A92D11D
4913,5,6530DE8D4C776F680806F0EDCF0BF75366CCA0371A297B879550983756567C7C
6864,3,F64A3E7E97C3FC6F408815472289A412A97A518A473B5F7745B6844C19084DE0
7222,1,89CEE8B7E9E50CF18EF68EC90E1751EA55C4B7E06253FAFB3B059FDEB9EE523F
